BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME
RTSI,WHFOB,2021-06-08,WHFOB,Индекс пшеницы FOB регион Черного моря,247.7,247.7,247.7,247.7,158745277.86,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-07,WHFOB,Индекс пшеницы FOB регион Черного моря,248.3,248.3,248.3,248.3,174791769.09,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-04,WHFOB,Индекс пшеницы FOB регион Черного моря,243.7,243.7,243.7,243.7,206866019.09,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-03,WHFOB,Индекс пшеницы FOB регион Черного моря,242.8,242.8,242.8,242.8,190048512.23,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-02,WHFOB,Индекс пшеницы FOB регион Черного моря,243.1,243.1,243.1,243.1,173432352.23,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-12-01,WHFOB,Индекс пшеницы FOB регион Черного моря,321.5,321.5,321.5,321.5,252289668.0,0.0,0.0,1,0.0,USD,0.0,3,784800.0
RTSI,WHFOB,2021-11-30,WHFOB,Индекс пшеницы FOB регион Черного моря,321.2,321.2,321.2,321.2,439533568.0,0.0,0.0,1,0.0,USD,0.0,3,1368300.0
RTSI,WHFOB,2021-11-29,WHFOB,Индекс пшеницы FOB регион Черного моря,320.8,320.8,320.8,320.8,395957568.0,0.0,0.0,1,0.0,USD,0.0,3,1234300.0
RTSI,WHFOB,2021-11-26,WHFOB,Индекс пшеницы FOB регион Черного моря,320.2,320.2,320.2,320.2,385740768.0,0.0,0.0,1,0.0,USD,0.0,3,1204600.0
RTSI,WHFOB,2021-11-25,WHFOB,Индекс пшеницы FOB регион Черного моря,317.2,317.2,317.2,317.2,493544714.0,0.0,0.0,1,0.0,USD,0.0,3,1556088.0
RTSI,WHFOB,2021-11-24,WHFOB,Индекс пшеницы FOB регион Черного моря,317.2,317.2,317.2,317.2,493544714.0,0.0,0.0,1,0.0,USD,0.0,3,1556088.0
RTSI,WHFOB,2021-11-23,WHFOB,Индекс пшеницы FOB регион Черного моря,317.1,317.1,317.1,317.1,489653546.0,0.0,0.0,1,0.0,USD,0.0,3,1544288.0
RTSI,WHFOB,2021-11-22,WHFOB,Индекс пшеницы FOB регион Черного моря,313.7,313.7,313.7,313.7,418980800.0,0.0,0.0,1,0.0,USD,0.0,3,1335760.0
RTSI,WHFOB,2021-11-19,WHFOB,Индекс пшеницы FOB регион Черного моря,312.4,312.4,312.4,312.4,461527550.0,0.0,0.0,1,0.0,USD,0.0,3,1477260.0
RTSI,WHFOB,2021-11-18,WHFOB,Индекс пшеницы FOB регион Черного моря,312.4,312.4,312.4,312.4,461527550.0,0.0,0.0,1,0.0,USD,0.0,3,1477260.0
RTSI,WHFOB,2021-11-17,WHFOB,Индекс пшеницы FOB регион Черного моря,312.4,312.4,312.4,312.4,461527550.0,0.0,0.0,1,0.0,USD,0.0,3,1477260.0
RTSI,WHFOB,2021-11-16,WHFOB,Индекс пшеницы FOB регион Черного моря,312.4,312.4,312.4,312.4,461527550.0,0.0,0.0,1,0.0,USD,0.0,3,1477260.0
RTSI,WHFOB,2021-11-15,WHFOB,Индекс пшеницы FOB регион Черного моря,311.7,311.7,311.7,311.7,466591950.0,0.0,0.0,1,0.0,USD,0.0,3,1496960.0
RTSI,WHFOB,2021-11-12,WHFOB,Индекс пшеницы FOB регион Черного моря,310.4,310.4,310.4,310.4,422792350.0,0.0,0.0,1,0.0,USD,0.0,3,1361960.0
RTSI,WHFOB,2021-11-11,WHFOB,Индекс пшеницы FOB регион Черного моря,310.4,310.4,310.4,310.4,422792350.0,0.0,0.0,1,0.0,USD,0.0,3,1361960.0
RTSI,WHFOB,2021-11-10,WHFOB,Индекс пшеницы FOB регион Черного моря,310.4,310.4,310.4,310.4,422792350.0,0.0,0.0,1,0.0,USD,0.0,3,1361960.0
RTSI,WHFOB,2021-11-09,WHFOB,Индекс пшеницы FOB регион Черного моря,310.4,310.4,310.4,310.4,425543350.0,0.0,0.0,1,0.0,USD,0.0,3,1370960.0
RTSI,WHFOB,2021-11-08,WHFOB,Индекс пшеницы FOB регион Черного моря,309.6,309.6,309.6,309.6,421328450.0,0.0,0.0,1,0.0,USD,0.0,3,1360960.0
RTSI,WHFOB,2021-11-03,WHFOB,Индекс пшеницы FOB регион Черного моря,304.3,304.3,304.3,304.3,389144450.0,0.0,0.0,1,0.0,USD,0.0,3,1278960.0
RTSI,WHFOB,2021-11-02,WHFOB,Индекс пшеницы FOB регион Черного моря,302.5,302.5,302.5,302.5,395840800.0,0.0,0.0,1,0.0,USD,0.0,3,1308460.0
RTSI,WHFOB,2021-11-01,WHFOB,Индекс пшеницы FOB регион Черного моря,299.6,299.6,299.6,299.6,266022550.0,0.0,0.0,1,0.0,USD,0.0,3,887960.0
RTSI,WHFOB,2021-10-29,WHFOB,Индекс пшеницы FOB регион Черного моря,302.5,302.5,302.5,302.5,303582815.1734,0.0,0.0,1,0.0,USD,0.0,3,1003691.0
RTSI,WHFOB,2021-10-28,WHFOB,Индекс пшеницы FOB регион Черного моря,302.3,302.3,302.3,302.3,0.0,,,2,,USD,,3,974691.0
RTSI,WHFOB,2021-10-27,WHFOB,Индекс пшеницы FOB регион Черного моря,300.8,300.8,300.8,300.8,0.0,,,2,,USD,,3,934691.0
RTSI,WHFOB,2021-10-26,WHFOB,Индекс пшеницы FOB регион Черного моря,300.8,300.8,300.8,300.8,0.0,,,2,,USD,,3,934691.0
RTSI,WHFOB,2021-10-25,WHFOB,Индекс пшеницы FOB регион Черного моря,298.5,298.5,298.5,298.5,0.0,,,2,,USD,,3,1058916.0
RTSI,WHFOB,2021-10-22,WHFOB,Индекс пшеницы FOB регион Черного моря,297.0,297.0,297.0,297.0,0.0,,,2,,USD,,3,919916.0
RTSI,WHFOB,2021-10-21,WHFOB,Индекс пшеницы FOB регион Черного моря,294.9,294.9,294.9,294.9,0.0,,,2,,USD,,3,801916.0
RTSI,WHFOB,2021-10-20,WHFOB,Индекс пшеницы FOB регион Черного моря,296.9,296.9,296.9,296.9,0.0,,,2,,USD,,3,962282.0
RTSI,WHFOB,2021-10-19,WHFOB,Индекс пшеницы FOB регион Черного моря,297.9,297.9,297.9,297.9,0.0,,,2,,USD,,3,979283.0
RTSI,WHFOB,2021-10-18,WHFOB,Индекс пшеницы FOB регион Черного моря,297.9,297.9,297.9,297.9,0.0,,,2,,USD,,3,979283.0
RTSI,WHFOB,2021-10-15,WHFOB,Индекс пшеницы FOB регион Черного моря,291.3,291.3,291.3,291.3,0.0,,,2,,USD,,3,1214683.0
RTSI,WHFOB,2021-10-14,WHFOB,Индекс пшеницы FOB регион Черного моря,290.5,290.5,290.5,290.5,0.0,,,2,,USD,,3,1151683.0
RTSI,WHFOB,2021-10-13,WHFOB,Индекс пшеницы FOB регион Черного моря,287.8,287.8,287.8,287.8,0.0,,,2,,USD,,3,1015183.0
RTSI,WHFOB,2021-10-12,WHFOB,Индекс пшеницы FOB регион Черного моря,287.3,287.3,287.3,287.3,0.0,,,2,,USD,,3,1008683.0
RTSI,WHFOB,2021-10-11,WHFOB,Индекс пшеницы FOB регион Черного моря,285.6,285.6,285.6,285.6,0.0,,,2,,USD,,3,918683.0
RTSI,WHFOB,2021-10-08,WHFOB,Индекс пшеницы FOB регион Черного моря,286.6,286.6,286.6,286.6,0.0,,,2,,USD,,3,971517.0
RTSI,WHFOB,2021-10-07,WHFOB,Индекс пшеницы FOB регион Черного моря,286.5,286.5,286.5,286.5,0.0,,,2,,USD,,3,936680.0
RTSI,WHFOB,2021-10-06,WHFOB,Индекс пшеницы FOB регион Черного моря,286.5,286.5,286.5,286.5,0.0,,,2,,USD,,3,936680.0
RTSI,WHFOB,2021-10-05,WHFOB,Индекс пшеницы FOB регион Черного моря,287.8,287.8,287.8,287.8,0.0,,,2,,USD,,3,996680.0
RTSI,WHFOB,2021-10-04,WHFOB,Индекс пшеницы FOB регион Черного моря,280.7,280.7,280.7,280.7,0.0,,,2,,USD,,3,876180.0
RTSI,WHFOB,2021-10-01,WHFOB,Индекс пшеницы FOB регион Черного моря,278.0,278.0,278.0,278.0,0.0,,,2,,USD,,3,664510.0
RTSI,WHFOB,2021-09-30,WHFOB,Индекс пшеницы FOB регион Черного моря,283.8,283.8,283.8,283.8,0.0,,,2,,USD,,3,1082945.0
