"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.07.2021","175,75","174,00","176,00","174,00","0,03K","0,83%"
"22.07.2021","174,30","177,65","177,65","174,00","0,31K","-2,35%"
"21.07.2021","178,50","181,00","181,00","178,00","0,24K","-1,05%"
"20.07.2021","180,40","181,00","181,00","180,30","0,34K","1,12%"
"19.07.2021","178,40","179,50","180,00","177,50","0,29K","0,88%"
"16.07.2021","176,85","172,70","177,00","172,00","0,48K","3,48%"
"15.07.2021","170,90","169,00","172,00","169,00","0,22K","0,59%"
"14.07.2021","169,90","167,00","169,90","166,00","0,27K","2,35%"
"13.07.2021","166,00","164,75","166,50","164,00","0,20K","0,76%"
"12.07.2021","164,75","164,30","164,50","164,25","0,02K","0,27%"
"09.07.2021","164,30","166,50","166,50","164,50","0,16K","-1,62%"
"08.07.2021","167,00","166,50","166,50","166,00","0,08K","-10,34%"
"07.07.2021","186,25","185,00","185,00","185,00","0,01K","0,00%"
"06.07.2021","186,25","187,00","187,00","185,00","0,02K","0,84%"
"05.07.2021","184,70","184,70","184,70","184,70","-","-1,62%"
"02.07.2021","187,75","187,75","187,75","187,75","-","-1,24%"
"01.07.2021","190,10","190,10","190,10","190,10","-","0,05%"
"30.06.2021","190,00","187,50","187,50","187,50","0,03K","4,11%"
"29.06.2021","182,50","182,50","182,50","182,50","-","-0,03%"
"28.06.2021","182,55","182,55","182,55","182,55","-","1,78%"
"25.06.2021","179,35","179,35","179,35","179,35","-","-0,88%"
"24.06.2021","180,95","180,95","180,95","180,95","-","-1,23%"
"23.06.2021","183,20","183,20","183,20","183,20","-","0,08%"
"22.06.2021","183,05","183,05","183,05","183,05","-","-0,38%"
"21.06.2021","183,75","183,75","183,75","183,75","-","-2,47%"
"18.06.2021","188,40","188,40","188,40","188,40","-","1,43%"
"17.06.2021","185,75","185,75","185,75","185,75","-","-1,46%"
"16.06.2021","188,50","188,50","188,50","188,50","-","0,32%"
"15.06.2021","187,90","187,90","187,90","187,90","-","-2,14%"
"14.06.2021","192,00","192,00","192,00","192,00","-","0,00%"
"11.06.2021","192,00","192,00","192,00","192,00","0,04K","-3,03%"
"10.06.2021","198,00","198,00","198,00","198,00","-","-0,60%"
"09.06.2021","199,20","199,20","199,20","199,20","-","-1,36%"
"08.06.2021","201,95","201,95","201,95","201,95","-","0,12%"
"07.06.2021","201,70","201,70","201,70","201,70","-","-0,10%"
"04.06.2021","201,90","201,90","201,90","201,90","-","-0,42%"
"03.06.2021","202,75","203,00","203,00","203,00","0,02K","2,61%"
"02.06.2021","197,60","197,60","197,60","197,60","-","-1,20%"
"01.06.2021","200,00","200,00","200,00","200,00","-","2,56%"
"28.05.2021","195,00","195,00","195,00","195,00","-","-0,51%"
"27.05.2021","196,00","196,00","196,00","196,00","-","2,35%"
"26.05.2021","191,50","192,00","192,00","192,00","0,01K","-0,23%"
"25.05.2021","191,95","191,95","191,95","191,95","0,00K","-0,85%"
"24.05.2021","193,60","193,60","193,60","193,60","-","-3,92%"
"21.05.2021","201,50","201,50","201,50","201,50","-","0,00%"
"20.05.2021","201,50","201,50","201,50","201,50","-","-1,23%"
"19.05.2021","204,00","205,50","205,50","205,50","0,00K","0,00%"
"18.05.2021","204,00","204,00","204,00","204,00","-","-0,27%"
"17.05.2021","204,55","204,55","204,55","204,55","-","-3,88%"
"14.05.2021","212,80","215,00","215,00","214,00","1,12K","0,38%"
"13.05.2021","212,00","212,00","212,00","212,00","-","0,00%"
"12.05.2021","212,00","212,00","215,00","212,00","0,03K","3,24%"
"11.05.2021","205,35","205,35","205,35","205,35","-","0,54%"
"10.05.2021","204,25","204,25","204,25","204,25","-","-1,33%"
"07.05.2021","207,00","207,00","207,00","207,00","0,02K","0,00%"
"06.05.2021","207,00","207,00","207,00","207,00","0,06K","0,00%"
"05.05.2021","207,00","207,00","207,00","207,00","0,03K","0,73%"
"04.05.2021","205,50","206,50","206,50","206,50","0,01K","0,49%"
"30.04.2021","204,50","204,00","204,00","203,25","0,02K","-0,12%"
"29.04.2021","204,75","205,00","205,00","205,00","0,01K","-1,09%"
"28.04.2021","207,00","204,00","204,40","204,00","0,01K","-0,89%"
