"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.07.2020","159,85","159,85","159,85","159,85","-","-0,68%"
"30.06.2020","160,95","160,95","160,95","160,95","-","0,28%"
"29.06.2020","160,50","160,50","160,50","160,50","-","2,23%"
"26.06.2020","157,00","157,00","157,00","157,00","-","-0,10%"
"25.06.2020","157,15","157,15","157,15","157,15","-","-0,16%"
"24.06.2020","157,40","157,00","157,00","157,00","0,00K","-0,32%"
"23.06.2020","157,90","159,00","159,00","157,00","0,00K","0,16%"
"22.06.2020","157,65","157,65","157,65","157,65","-","-1,16%"
"19.06.2020","159,50","159,50","159,50","159,50","-","0,85%"
"18.06.2020","158,15","158,15","158,15","158,15","-","-0,19%"
"17.06.2020","158,45","158,45","158,45","158,45","-","-0,38%"
"16.06.2020","159,05","159,05","159,05","159,05","-","-0,90%"
"15.06.2020","160,50","160,50","160,50","160,50","-","-0,77%"
"12.06.2020","161,75","161,75","161,75","161,75","-","0,78%"
"11.06.2020","160,50","160,00","160,00","160,00","0,01K","-1,23%"
"10.06.2020","162,50","162,50","162,50","162,50","-","0,31%"
"09.06.2020","162,00","162,00","162,00","162,00","-","-0,31%"
"08.06.2020","162,50","162,50","162,50","162,50","-","-0,91%"
"05.06.2020","164,00","164,00","164,00","164,00","-","-0,24%"
"04.06.2020","164,40","164,40","164,40","164,40","-","2,08%"
"03.06.2020","161,05","161,05","161,05","161,05","-","-0,49%"
"02.06.2020","161,85","162,75","162,75","162,75","0,01K","0,65%"
"01.06.2020","160,80","160,80","160,80","160,80","-","-1,71%"
"29.05.2020","163,60","163,60","163,60","163,60","-","0,43%"
"28.05.2020","162,90","162,90","162,90","162,90","-","0,87%"
"27.05.2020","161,50","160,50","161,50","160,50","0,02K","0,69%"
"26.05.2020","160,40","160,40","160,40","160,40","-","0,28%"
"22.05.2020","159,95","159,95","159,95","159,95","-","0,00%"
"21.05.2020","159,95","159,95","159,95","159,95","-","1,46%"
"20.05.2020","157,65","155,50","155,50","155,50","0,01K","2,04%"
"19.05.2020","154,50","154,50","154,50","154,50","-","-0,26%"
"18.05.2020","154,90","154,90","154,90","154,90","-","0,26%"
"15.05.2020","154,50","154,50","154,50","154,50","0,01K","0,00%"
"14.05.2020","154,50","154,50","154,50","154,50","-","0,10%"
"13.05.2020","154,35","154,50","154,50","154,50","0,01K","0,13%"
"12.05.2020","154,15","153,00","154,50","153,00","0,01K","0,00%"
"11.05.2020","154,15","154,15","154,15","154,15","-","0,46%"
"07.05.2020","153,45","153,45","153,45","153,45","-","1,22%"
"06.05.2020","151,60","151,00","152,00","151,00","0,06K","0,13%"
"05.05.2020","151,40","151,40","151,40","151,40","-","0,26%"
"04.05.2020","151,00","151,00","151,00","151,00","-","0,47%"
"01.05.2020","150,30","151,00","151,00","150,00","0,02K","-0,79%"
"30.04.2020","151,50","151,50","151,50","151,50","-","-0,36%"
"29.04.2020","152,05","152,05","152,05","152,05","-","-0,94%"
"28.04.2020","153,50","153,50","153,50","153,50","-","-0,97%"
"27.04.2020","155,00","155,00","155,00","155,00","0,01K","-0,70%"
"24.04.2020","156,10","155,50","156,00","155,50","0,01K","-0,79%"
"23.04.2020","157,35","157,95","160,00","156,50","0,05K","0,10%"
"22.04.2020","157,20","155,50","157,50","155,50","0,08K","0,77%"
"21.04.2020","156,00","153,75","156,00","153,75","0,07K","1,33%"
"20.04.2020","153,95","150,00","154,00","150,00","0,14K","3,32%"
"17.04.2020","149,00","150,50","151,00","148,50","0,16K","-1,32%"
"16.04.2020","151,00","153,00","153,00","151,00","0,15K","-0,98%"
"15.04.2020","152,50","150,65","152,50","150,60","0,24K","-1,07%"
"14.04.2020","154,15","156,50","156,50","154,15","0,07K","-2,56%"
"09.04.2020","158,20","157,90","159,00","157,80","0,12K","0,25%"
"08.04.2020","157,80","157,75","159,00","157,75","0,12K","0,38%"
"07.04.2020","157,20","156,10","157,00","156,10","0,01K","-0,10%"
"06.04.2020","157,35","156,50","157,50","156,50","0,11K","1,19%"
"03.04.2020","155,50","154,50","155,50","154,50","0,11K","1,50%"
"02.04.2020","153,20","153,75","153,75","152,00","0,28K","-1,32%"
"01.04.2020","155,25","158,00","158,00","155,00","0,22K","-1,58%"
"31.03.2020","157,75","157,20","157,85","156,40","0,11K","0,13%"
"30.03.2020","157,55","159,70","159,70","156,80","0,09K","-1,10%"
"27.03.2020","159,30","162,50","163,40","158,75","0,34K","-1,82%"
"26.03.2020","162,25","163,00","165,25","162,00","0,11K","-2,08%"
"25.03.2020","165,70","162,50","165,00","161,00","0,12K","1,35%"
"24.03.2020","163,50","165,00","165,90","162,60","0,18K","4,44%"
"23.03.2020","156,55","156,55","156,55","156,55","-","0,00%"
"20.03.2020","156,55","156,55","156,55","156,55","-","-0,35%"
"19.03.2020","157,10","157,10","157,10","157,10","-","0,87%"
"18.03.2020","155,75","155,75","155,75","155,75","-","3,25%"
"17.03.2020","150,85","150,85","150,85","150,85","-","1,58%"
"16.03.2020","148,50","148,50","148,50","148,50","-","0,78%"
"13.03.2020","147,35","147,35","147,35","147,35","-","0,27%"
"12.03.2020","146,95","146,95","146,95","146,95","-","0,34%"
"11.03.2020","146,45","146,45","146,45","146,45","-","-0,81%"
"10.03.2020","147,65","147,65","147,65","147,65","-","1,55%"
"09.03.2020","145,40","145,40","145,40","145,40","-","-1,22%"
"06.03.2020","147,20","147,20","147,20","147,20","-","-0,51%"
"05.03.2020","147,95","147,95","147,95","147,95","-","-0,17%"
"04.03.2020","148,20","148,20","148,20","148,20","-","-0,17%"
"03.03.2020","148,45","148,45","148,45","148,45","-","0,03%"
"02.03.2020","148,40","148,40","148,40","148,40","-","1,30%"
"28.02.2020","146,50","146,50","146,50","146,50","-","-0,75%"
"27.02.2020","147,60","147,60","147,60","147,60","-","-0,51%"
"26.02.2020","148,35","148,35","148,35","148,35","-","0,30%"
"25.02.2020","147,90","147,90","147,90","147,90","-","-0,24%"
"24.02.2020","148,25","148,25","148,25","148,25","-","-1,23%"
"21.02.2020","150,10","150,10","150,10","150,10","-","-0,50%"
"20.02.2020","150,85","150,85","150,85","150,85","-","0,17%"
"19.02.2020","150,60","151,00","151,00","151,00","0,01K","-0,23%"
"18.02.2020","150,95","150,95","150,95","150,95","-","0,13%"
"17.02.2020","150,75","150,75","150,75","150,75","-","0,13%"
"14.02.2020","150,55","150,55","150,55","150,55","-","0,37%"
"13.02.2020","150,00","150,00","150,00","150,00","-","-0,17%"
"12.02.2020","150,25","150,25","150,25","150,25","-","-0,10%"
"11.02.2020","150,40","150,40","150,40","150,40","-","-1,09%"
"10.02.2020","152,05","152,05","152,05","152,05","-","0,00%"
"07.02.2020","152,05","152,05","152,05","152,05","-","0,66%"
"06.02.2020","151,05","151,05","151,05","151,05","-","-0,33%"
"05.02.2020","151,55","151,55","151,55","151,55","-","0,83%"
"04.02.2020","150,30","150,30","150,30","150,30","-","0,50%"
"03.02.2020","149,55","149,55","149,55","149,55","-","0,00%"
"31.01.2020","149,55","149,55","149,55","149,55","-","-0,47%"
"30.01.2020","150,25","150,25","150,25","150,25","-","-0,36%"
"29.01.2020","150,80","150,80","150,80","150,80","-","-0,98%"
"28.01.2020","152,30","152,30","152,30","152,30","-","-0,49%"
"27.01.2020","153,05","153,05","153,05","153,05","-","-0,49%"
"24.01.2020","153,80","153,80","153,80","153,80","-","0,75%"
"23.01.2020","152,65","152,65","152,65","152,65","-","0,00%"
"22.01.2020","152,65","154,70","154,70","154,70","0,03K","-1,33%"
"21.01.2020","154,70","153,25","153,25","153,25","0,00K","1,31%"
"20.01.2020","152,70","152,70","152,70","152,70","-","1,56%"
"17.01.2020","150,35","150,35","150,35","150,35","-","0,57%"
"16.01.2020","149,50","149,50","149,50","149,50","-","-1,29%"
"15.01.2020","151,45","153,50","153,50","153,50","0,11K","-0,16%"
"14.01.2020","151,70","151,70","151,70","151,70","-","0,97%"
"13.01.2020","150,25","150,25","150,25","150,25","-","1,80%"
"10.01.2020","147,60","147,60","147,60","147,60","-","-0,27%"
"09.01.2020","148,00","148,00","148,00","148,00","-","0,85%"
"08.01.2020","146,75","146,75","146,75","146,75","-","0,34%"
"07.01.2020","146,25","146,50","146,50","146,50","0,01K","0,17%"
"06.01.2020","146,00","146,00","146,00","146,00","-","-0,51%"
"03.01.2020","146,75","146,75","146,75","146,75","-","-0,51%"
"02.01.2020","147,50","147,50","147,50","147,50","-","0,68%"
